f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 c
0.1108 0.0465 0.0272 0.0118 0.0545 0.0237 0.0980 0.0207 85.4265 22.1913 1 
0.0822 0.0301 0.0181 0.0095 0.0830 0.0406 0.0874 0.0252 79.0371 26.2510 1 
0.1349 0.0410 0.0339 0.0113 0.0485 0.0181 0.0899 0.0198 76.3303 20.4362 1 
0.0847 0.0516 0.0194 0.0156 0.0614 0.0252 0.1084 0.0343 92.6535 32.1177 1 
0.1251 0.0396 0.0314 0.0132 0.0573 0.0222 0.1127 0.0289 99.2053 27.3316 1 
0.1287 0.0723 0.0323 0.0184 0.0538 0.0222 0.0747 0.0249 59.2879 20.8315 1 
0.0938 0.0545 0.0191 0.0110 0.0640 0.0261 0.0725 0.0271 57.2654 22.0260 1 
0.1199 0.0821 0.0285 0.0187 0.0614 0.0330 0.0727 0.0342 59.1963 31.8785 1 
0.0994 0.0641 0.0238 0.0151 0.0594 0.0246 0.0783 0.0256 62.9812 21.3956 1 
0.0649 0.0397 0.0116 0.0075 0.0799 0.0329 0.0556 0.0276 42.3467 23.5414 1 
0.0881 0.0597 0.0228 0.0161 0.0580 0.0238 0.0856 0.0294 73.9246 29.9835 1 
0.0589 0.0236 0.0113 0.0049 0.0715 0.0268 0.0601 0.0197 51.7957 15.8769 1 
0.0864 0.0670 0.0175 0.0116 0.0719 0.0341 0.0652 0.0272 56.5739 22.7642 1 
0.0960 0.0813 0.0230 0.0190 0.0555 0.0204 0.0802 0.0316 68.1929 28.9992 1 
0.0935 0.0766 0.0235 0.0190 0.0644 0.0273 0.0679 0.0223 59.2159 18.3923 1 
0.0321 0.0264 0.0075 0.0061 0.0699 0.0279 0.0743 0.0253 60.3194 23.8340 1 
0.0215 0.0122 0.0049 0.0029 0.0939 0.0400 0.0458 0.0210 40.3773 15.4565 1 
0.1165 0.1030 0.0286 0.0251 0.0521 0.0189 0.0805 0.0167 71.5537 16.7663 1 
0.0544 0.0571 0.0108 0.0105 0.0662 0.0257 0.0698 0.0283 58.4215 21.1487 1 
0.0221 0.0144 0.0052 0.0032 0.0704 0.0309 0.0555 0.0332 45.2316 27.5354 1 
0.1137 0.0680 0.0274 0.0168 0.0556 0.0212 0.0694 0.0229 57.9752 20.0590 1 
0.1417 0.1237 0.0347 0.0294 0.0499 0.0215 0.0791 0.0237 67.3442 18.7698 1 
0.1425 0.0905 0.0340 0.0217 0.0561 0.0237 0.0677 0.0206 57.3990 18.6265 1 
0.0454 0.0183 0.0090 0.0039 0.0891 0.0477 0.0435 0.0187 34.8814 14.0415 1 
0.2016 0.0728 0.0496 0.0168 0.0537 0.0196 0.0715 0.0178 60.0808 15.0483 1 
0.1958 0.0663 0.0495 0.0159 0.0512 0.0236 0.0681 0.0197 58.2762 17.1139 1 
0.1195 0.1136 0.0278 0.0253 0.0560 0.0215 0.0811 0.0211 71.8581 19.9072 1 
0.0780 0.0403 0.0165 0.0088 0.0750 0.0236 0.0529 0.0169 47.4142 14.7468 1 
0.1881 0.0782 0.0454 0.0190 0.0540 0.0229 0.0810 0.0265 68.5296 23.3755 1 
0.1264 0.1071 0.0301 0.0251 0.0517 0.0206 0.0915 0.0334 76.0755 29.2418 1 
0.0839 0.0437 0.0218 0.0121 0.0691 0.0381 0.0631 0.0294 53.1846 22.5599 1 
0.0850 0.0657 0.0229 0.0171 0.0767 0.0372 0.0388 0.0169 35.4603 15.1973 1 
0.0210 0.0114 0.0042 0.0025 0.0728 0.0195 0.0348 0.0078 33.2198 5.8951 1 
0.0341 0.0361 0.0075 0.0089 0.0716 0.0262 0.0520 0.0271 44.1356 22.1167 1 
0.1090 0.0782 0.0247 0.0172 0.0689 0.0286 0.0733 0.0384 61.2696 33.4285 1 
0.1226 0.0787 0.0350 0.0223 0.0631 0.0300 0.0608 0.0452 51.3262 38.5569 1 
0.0411 0.0316 0.0107 0.0089 0.0915 0.0629 0.0582 0.0338 50.7966 24.5396 1 
0.1274 0.0971 0.0316 0.0259 0.0554 0.0248 0.0935 0.0417 79.6158 39.6066 1 
0.1308 0.0995 0.0286 0.0230 0.0591 0.0237 0.0755 0.0275 62.4159 21.9081 1 
0.0373 0.0427 0.0108 0.0130 0.0577 0.0265 0.1074 0.0488 88.9465 44.0625 1 
0.0577 0.0413 0.0126 0.0096 0.0631 0.0219 0.0719 0.0246 61.0821 19.8794 1 
0.0605 0.0676 0.0120 0.0123 0.0651 0.0257 0.0777 0.0339 64.4775 28.4652 1 
0.4068 0.1568 0.0945 0.0352 0.0485 0.0148 0.0939 0.0167 84.5105 14.4604 1 
0.2817 0.1242 0.0539 0.0320 0.1078 0.0644 0.0509 0.0149 48.2719 10.6322 1 
0.0497 0.0186 0.0103 0.0053 0.0720 0.0292 0.0710 0.0234 62.5982 20.2151 1 
